"source_url","source_name","published_at","title","text","notes"
"https://t.me/BFMnews/71445","Business FM Telegram","2026-07-11 07:43","Как схема чет-нечет работает для транзитников на АЗС","Слушательница Business FM ехала из Петербурга в Беларусь через Псковскую область и столкнулась с ограничением заправки по последней цифре номера машины. На АЗС отказали в обычной заправке, затем разрешили только пять литров в канистру; другие водители тоже спорили, как трактовать номер.","reviewed_scope:last_50_posts; EDITORIAL_DONE; SKIP_AFTER_EDITORIAL_REVIEW; тема релевантна, но сценарий слабый; возражение зрителя: надо было заправиться заранее; фиксация отказа на АЗС выглядит натянутой; not for rewrite"
"https://t.me/BFMnews/71476","Business FM Telegram","2026-07-11 12:35","Перевод себе более 200 тысяч через СБП может попасть под признаки мошенничества","МВД сообщило, что банки проверяют переводы по нескольким критериям, включая перевод самому себе через СБП от 200 тысяч рублей и последующее снятие наличных. Ситуация массово цепляет страх блокировки нормальной операции и потерю доступа к деньгам.","reviewed_scope:last_50_posts; банк; деньги; платеж; перевод; СБП; блокировка; доступ; антифрод; алгоритм; подозрительная операция; клиент; поддержка; жалоба; SCRIPT-NOW candidate"
"https://t.me/BFMnews/71465","Business FM Telegram","2026-07-11 08:40","Автошколы сокращают часы вождения вместо обещанной программы","Житель Санкт-Петербурга пожаловался Business FM: при переподготовке категории автошколы предлагают 5-10 часов вождения вместо нормальной длительной программы. Тема про платную услугу, недополученный результат, договоренность и спор с исполнителем.","reviewed_scope:last_50_posts; клиент; услуга; оплата; сервис; отказ; недооказанная услуга; договор; жалоба; претензия; деньги; практический правовой угол; WATCHLIST after strict filter; нужна конкретная потеря денег/договорных условий"
"https://t.me/BFMnews/71470","Business FM Telegram","2026-07-11 11:20","Минцифры обсуждает идентификацию покупателей хостинга через Госуслуги","Обсуждается обязательная идентификация покупателей хостинга, серверов и IP-адресов через Госуслуги. Для малого бизнеса и владельцев сайтов это риск дополнительного барьера доступа к цифровой инфраструктуре.","reviewed_scope:last_50_posts; платформа; доступ; ограничение доступа; сервис; хостинг; госуслуги; бизнес; клиент; цифровая инфраструктура; compliance; WATCHLIST candidate"
"https://t.me/BFMnews/71467","Business FM Telegram","2026-07-11 09:05","Apple подала в суд на OpenAI из-за корпоративных секретов","Apple обвинила OpenAI в попытке получить конфиденциальную информацию через кандидатов и бывшего сотрудника. Прикладной угол: что нельзя уносить с прошлой работы, где граница собеседования и корпоративной тайны.","reviewed_scope:last_50_posts; корпоративные секреты; работник; работодатель; репутация; иск; доступ; документы; данные; бизнес-риск; WATCHLIST candidate"
"https://t.me/BFMnews/71459","Business FM Telegram","2026-07-11 05:55","Новый порядок расчета стоимости запчастей по ОСАГО","С 11 июля меняется расчет стоимости запчастей по ОСАГО: отдельные детали включаются в ремонт полностью и без скидок на износ. Это потребительская тема про страховое возмещение, ремонт и спор с сервисом или страховщиком.","reviewed_scope:last_50_posts; ОСАГО; ремонт; сервис; деньги; страховая; клиент; спор; права; претензия; WATCHLIST candidate"
"https://t.me/BFMnews/71477","Business FM Telegram","2026-07-11 12:40","Глэмпинги выставляют на продажу после спада рынка","Business FM пишет о владельцах глэмпингов, которые продают действующие объекты после бурного роста и последующего спада. Угол: бизнес-модель, аренда, вложения, окупаемость и риск для предпринимателей.","reviewed_scope:last_50_posts; бизнес; предприниматель; деньги; аренда; собственник; партнер; сделка; риски; NEAR-MISS"
"https://t.me/BFMnews/71485","Business FM Telegram","2026-07-11 13:10","На фоне бензинового кризиса появились объявления о продаже мини-НПЗ","В интернете начали появляться объявления о продаже мини-НПЗ как прицепа для легковушки. Эксперты сомневаются в реальности таких предложений. Тема про ажиотаж, риск покупки сомнительного оборудования и возможный обман.","reviewed_scope:last_50_posts; покупатель; деньги; обман; сделка; поставщик; репутационный риск; топливо; сомнительное предложение; WATCHLIST candidate"
"https://t.me/BFMnews/71488","Business FM Telegram","2026-07-12 10:25","Самолет из Астаны в Дубай возвращен в аэропорт вылета","Air Astana сообщила о возврате самолета из Астаны в Дубай в аэропорт вылета из-за эскалации в регионе. Массовая боль: пассажир заплатил, поездка сорвалась, непонятно что с деньгами, отелем и пересадками.","reviewed_scope:last_50_posts; рейс; перенос; отказ; сервис; пассажир; деньги; компенсация; права потребителя; авиакомпания; WATCHLIST candidate"
"https://t.me/BFMnews/71497","Business FM Telegram","2026-07-12 12:59","Аэрофлот корректирует расписание из-за непогоды в Москве","Часть рейсов отменены или перенесены, несколько бортов направлены на запасные аэродромы. Тема про задержки, отмену услуги, сроки, деньги за билеты и что фиксировать пассажиру.","reviewed_scope:last_50_posts; рейс; отмена; перенос; сервис; пассажир; деньги; компенсация; права потребителя; претензия; WATCHLIST candidate"
